3,333|三千三百三十三
10.5|十點五
3,333.5|三千三百三十三點五
NT$10|十新台幣
RMB￥20|二十人民幣
75%|百分之七十五
2004鼠年|二零零四鼠年
2008/07|二零零八年七月
1992/09～1995/06|一九九二年九月到一九九五年六月
結局12:17|結局十二比十七
Ⅰ期Ⅱ期|一期二期
02-2555-6999#72|零二-二五五五-六九九九轉分機七二
37℃|攝氏三十七度
37℉|華氏三十七度
在2/26、3/4、3/9這幾個交易日|在二月二十六號、三月四號、三月九號這幾個交易日
10ppm|十ppm
昨（31）日|昨（三十一）日
1~2天|一到兩天
1、2次|一、兩次
.364的打擊率|點三六四的打擊率
2018-19賽季|二零一八到一九賽季
滿5000送500、投11中6|滿五千送五百、投十一中六
hank12451@gmail.com|hank一二四五一 at gmail dot com
covid-19|COVID-nineteen 
07/19~07/28|七月十九號到七月二十八號
10:00～18:00|十點零分到十八點零分
802.11ac|八零二點十一ac
F-16戰機|F-十六戰機
P2P、B2C|P to P、B to C
Elizabeth vii|Elizabeth the seventh 
?te|why-te
9M88|九M八八
M.2|M點二
CO2|C-O-two
9to5|nine-to-five 
B.1.621|B點一點六二一
Disney+|Disney plus
http//www.yuanzaicoin.com|http slash  slash www dot yuanzaicoin dot com
2018-19賽季|二零一八到一九賽季
２０１７－１８ 賽季|二零一七到一八 賽季
2009-08賽季|2009-08賽季
跪頸案╱12陪審員6白4黑2跨族裔 有護士、非裔祖母|跪頸案╱十二陪審員六白四黑二跨族裔 有護士、非裔祖母
PER值計算公式為：（得分+籃板+助攻+搶斷+蓋帽）-（出手次數-命中次數）-（罰球次數-罰球命中次數）-失誤次數/球員上場比賽的場次。|PER值計算公式為：（得分加籃板加助攻加搶斷加蓋帽）減（出手次數減命中次數）減（罰球次數減罰球命中次數）減失誤次數除以球員上場比賽的場次。
四個賽季(2016-17菜鳥球季整季傷停)|四個賽季(二零一六到一七菜鳥球季整季傷停)
拜登邀請40國元首，22日參與聯合國氣候變化大會（COP26）峰會的線上會議；在全球排放量排名上，中國大陸第一、美國第二，俄羅斯第四。|拜登邀請四十國元首，二十二日參與聯合國氣候變化大會（COP二十六）峰會的線上會議；在全球排放量排名上，中國大陸第一、美國第二，俄羅斯第四。
台北富邦勇士在P. LEAGUE+（PLG）元年打出例行賽19勝5敗戰績|台北富邦勇士在P. LEAGUE plus（PLG）元年打出例行賽十九勝五敗戰績
搭配每建設一座5G基地台就會進行「4G/5G單站調整優化」作業，讓每一座5G基地台均發揮最大效益。採用愛立信獲獎的「動態4G/5G跨頻共享」與4G+5G全網優化技術|搭配每建設一座五G基地台就會進行「四G/五G單站調整優化」作業，讓每一座五G基地台均發揮最大效益。採用愛立信獲獎的「動態四G/五G跨頻共享」與四G加五G全網優化技術
其中台北市涵蓋率更超過94%|其中台北市涵蓋率更超過九十四趴
2016年雖有10轟10盜|二零一六年雖有十轟十盜
賽超過100場的球季（140戰，16轟29盜，OPS+ 93），農場時期曾被評為|賽超過一百場的球季（一百四十戰，十六轟二十九盜，OPS plus 九三），農場時期曾被評為
今共僅441場出賽（56轟、63盜）|今共僅四百四十一場出賽（五十六轟、六十三盜）
檢測出270貝克勒爾放射性物質銫，超出日本「食品衛生法」所規定的標準值。標準值為每公斤100貝克|檢測出兩百七十貝克勒爾放射性物質銫，超出日本「食品衛生法」所規定的標準值。標準值為每公斤一百貝克
20日發表於「自然通訊」期刊的研究，追蹤8000在英國的人，從他們50歲起，連續觀察25年，發現非周末晚間睡眠不到六小時的人，比每天睡七小時，亦即睡眠正常的人，晚年罹患失智症的機率高出30%。|二十日發表於「自然通訊」期刊的研究，追蹤八千在英國的人，從他們五十歲起，連續觀察二十五年，發現非周末晚間睡眠不到六小時的人，比每天睡七小時，亦即睡眠正常的人，晚年罹患失智症的機率高出三十趴。
王國材被稱為萬用工具人，828公投在即|王國材被稱為萬用工具人，八二八公投在即
兩挺兩反 828四公投民眾黨表態了|兩挺兩反 八二八四公投民眾黨表態了
但保羅入列後的2017-18賽季|但保羅入列後的二零一七到一八賽季
勝率6成11為2015-16年後新高|勝率六成十一為二零一五到十六年後新高
台師大上學年調整上課周數為16+2周，並經台灣大學系統協定|台師大上學年調整上課周數為十六加二周，並經台灣大學系統協定
同時，為落實16+2周，台師大也將期末考日期設|同時，為落實十六加二周，台師大也將期末考日期設
即所謂「+2」周|即所謂「加二」周
LINE BANK今日 (4/22)宣布正式在台開行，在2/17，2/18起|LINE BANK今日 (四月二十二日)宣布正式在台開行，在二月十七日，二月十八號起
以及超過2萬個市場合作夥伴，由合作夥伴打造應用服務與認證解決方案更超過9000項，而鲲鹏及昇騰伺服器用處理器成長幅度更超過600%。|以及超過二萬個市場合作夥伴，由合作夥伴打造應用服務與認證解決方案更超過九千項，而鲲鹏及昇騰伺服器用處理器成長幅度更超過六百趴。
但是藉由Google藝術與文化 (Google Arts & Culture)線上服務|但是藉由Google藝術與文化 (Google Arts  and  Culture)線上服務
迪士尼再撤！關閉東南亞、香港18頻道 台灣MOD 7台在列|迪士尼再撤！關閉東南亞、香港十八頻道 台灣MOD 七台在列
這份針對1000的調查訪問顯示，林鄭支持率竟值高達負50%，創下今年3月以來的新低。此外港人對港府滿意率也持續下跌至19%，不滿意率高達59%，滿意率淨值為負40%。不信任港府的比例高達52%，信任的有32%。|這份針對一千的調查訪問顯示，林鄭支持率竟值高達負五十趴，創下今年三月以來的新低。此外港人對港府滿意率也持續下跌至百分之十九，不滿意率高達五十九趴，滿意率淨值為負百分之四十。不信任港府的比例高達五十二趴，信任的有百分之三十二。
「在裝360+金山你就萬毒之王啦」。|「在裝三六零加金山你就萬毒之王啦」。
「沒有看到+1」|「沒有看到加一」
2019/6/13(四) |二零一九年六月十三號(禮拜四) 
6/13(四) 6/13(3)|六月十三日(星期四) 六月十三號(星期三)
2019.6.13(四) |二零一九年六月十三號(禮拜四) 
2019-6-13(四) 2019-6-13(1) 2019-6-13(7) 2019-6-13(日) 2019-6-13(2) 2019-6-13(3) 2019-6-13(5) |二零一九年六月十三日(禮拜四) 二零一九年六月十三日(星期一) 二零一九年六月十三號(禮拜日) 二零一九年六月十三日(禮拜日) 二零一九年六月十三號(星期二) 二零一九年六月十三號(星期三) 二零一九年六月十三日(星期五) 
2008年 2000年|二零零八年 兩千年
總共價值是10NT$，不算貴吧？|總共價值是十新台幣，不算貴吧？
總共價值是NT10，不算貴吧？|總共價值是NT十，不算貴吧？
總共價值是NT$10，不算貴吧？|總共價值是十新台幣，不算貴吧？
100US$ 100A$ 20HK$ 100CAN$ 100S$ |one hundred US dollars one hundred A dollars twenty HK dollars one hundred CAN dollars one hundred S dollars 
It cost me 10NT$.|It cost me ten NT dollars.
二O一O年|二零一零年
ChengChe在4月15日下午3:56傳送|ChengChe在四月十五日下午三點五十六分傳送
2O18年|二零一八年
兩年前費城76人在東區火熱崛起，208公分的前鋒西蒙斯生涯第二個賽季打得風生水起，就像高規格全能詹姆斯，場均16.9分、8.8籃板、7.7助攻，投籃命中率5成6，防守一流，形成「錯位」能力是76人最重要武器。全世界球迷都喜愛西蒙斯，理所當然也被視為76人未來台柱球星。|兩年前費城七六人在東區火熱崛起，兩百零八公分的前鋒西蒙斯生涯第二個賽季打得風生水起，就像高規格全能詹姆斯，場均十六點九分、八點八籃板、七點七助攻，投籃命中率五成六，防守一流，形成「錯位」能力是七六人最重要武器。全世界球迷都喜愛西蒙斯，理所當然也被視為七六人未來台柱球星。
76人另一巨頭是213公分中鋒安比德。|七六人另一巨頭是兩百一十三公分中鋒安比德。
總共76人|總共七十六人
276人|兩百七十六人
五月12|五月十二
+16 +333|加十六 加三百三十三
戴起帽子，獲得真正的掌聲——專訪壞特 ?te R&B 9m88 co2|戴起帽子，獲得真正的掌聲——專訪壞特 why-te R and B nine meight eight  C-O-two
man o' war|man-ou-war
man o'war|man o'war
Ⅰ期臨床和Ⅱ期臨床研究|一期臨床和二期臨床研究
臉書專頁「165全民防騙」5日貼文指出|臉書專頁「一六五全民防騙」五日貼文指出
反正也才幾秒時間，2、3間店家而已，1、2次，1、 2年，3、4年|反正也才幾秒時間，兩、三間店家而已，一、兩次，一、 兩年，三、四年
包括殲-10和殲-16戰機，每周約五天|包括殲-十和殲-十六戰機，每周約五天
App、7-ELEVEN ibon及全家FamiPort以信用卡完成購票者|App、seven-ELEVEN ibon及全家FamiPort以信用卡完成購票者
教科書上多還是寫 320-340 ppm，有幾年的時間差|教科書上多還是寫 三百二十到三百四十ppm，有幾年的時間差
教科書上多還是寫 320-340 次，有幾年的時間差|教科書上多還是寫 三百二十到三百四十次，有幾年的時間差
都可能比1850年至1900年的平均值升高至少1度|都可能比一八五零年至一九零零年的平均值升高至少一度
新冠肺炎7-11超商女店員 新冠肺炎711超商女店員 新冠肺炎7-eleven超商女店員|新冠肺炎seven-eleven超商女店員 新冠肺炎seven-eleven超商女店員 新冠肺炎seven-eleven超商女店員
711測試 7-11測試|七一一測試 七一一測試
累積雨量最多已經到40-50毫米。|累積雨量最多已經到四十到五十毫米。
5/26的版本測試文字。|五月二十六號的版本測試文字。
5/26版本測試文字。|五月二十六日版本測試文字。
優惠價1,888元，外帶自取可享85折，消費滿千再贈香煎鮭魚佐干貝。|優惠價一千八百八十八元，外帶自取可享八五折，消費滿千再贈香煎鮭魚佐干貝。
卅七萬三千人 —> 三十七萬三千人|三十七萬三千人 —> 三十七萬三千人
七月廿七日—》七月二十七日|七月二十七日—》七月二十七日
採用公規設計的M.2擴充槽|採用公規設計的M點二擴充槽
一類、孕婦、55歲以上長輩可打莫德納 8/5簡訊發放|一類、孕婦、五十五歲以上長輩可打莫德納 八月五號簡訊發放
共51.9萬人可施打莫德納第一劑。|共五十一點九萬人可施打莫德納第一劑。
目前該族群將於8月5日上午10點到8月7日中午12時，須上網進行預約簡訊，並於8月11日至8月17日供施打。|目前該族群將於八月五日上午十點到八月七日中午十二時，須上網進行預約簡訊，並於八月十一日至八月十七日供施打。
分別達到67.68%、96.28%。|分別達到百分之六十七點六八、百分之九十六點二八。
與2020年同期相比增長69.21%，較疫情前2019年同期增長4.49%。其中，黃金首飾348.56噸，同比增長67.68%；金條及金幣151.10噸，同比增長96.28%。|與二零二零年同期相比增長六十九點二一趴，較疫情前二零一九年同期增長四點四九趴。其中，黃金首飾三百四十八點五六噸，同比增長六十七點六八趴；金條及金幣一百五十一點一零噸，同比增長九十六點二八趴。
缺貨率約15%-20%缺貨率約15-20%|缺貨率約百分之十五到二十缺貨率約百分之十五到二十
中選會將原定公投時間改為12月18日投票|中選會將原定公投時間改為十二月十八日投票
因協調3+11引發爭議的民進黨立委范雲|因協調三加十一引發爭議的民進黨立委范雲
大陸國務委員兼外長王毅3日在東協與中日韓（10+3）外長會議上表示|大陸國務委員兼外長王毅三日在東協與中日韓（十加三）外長會議上表示
制定「10+3合作工作計劃（2023-2027）」，規畫未來合作路線圖|制定「十加三合作工作計劃（二零二三到二零二七）」，規畫未來合作路線圖
永齡基金會成功採購500萬劑德國BNT疫苗|永齡基金會成功採購五百萬劑德國BNT疫苗
在歐亞經濟委員會數據庫中看到幾個新的 iPhone‌ 型號，包括A2628、A2630、A2634、A2635、A2640、A2643 和 A2645，所有這些都可能對應於新的 iPhone 13、‌|在歐亞經濟委員會數據庫中看到幾個新的 iPhone‌ 型號，包括A二六二八、A二六三零、A二六三四、A二六三五、A二六四零、A二六四三 和 A二六四五，所有這些都可能對應於新的 iPhone 十三、‌
A2628、A2630、A2634、A2635、A2640|A二六二八、A二六三零、A二六三四、A二六三五、A二六四零
「全+1行動購」|「全加一行動購」
對於美國宣布售台M109A6自走砲車|對於美國宣布售台M一零九A六自走砲車
限時3天！7-11「88大人節」活動指定咖啡任選第2杯半價|限時三天！seven-eleven「八八大人節」活動指定咖啡任選第二杯半價
200元立享88折，|兩百元立享八八折，
共到貨一二四．九六萬劑。莫德納疫苗九．九六萬劑|共到貨一二四點九六萬劑。莫德納疫苗九點九六萬劑
9/9重|九月九號重
與嬌生（Johnson & Johnson）緊急使用授權|與嬌生（Johnson  and  Johnson）緊急使用授權
上下半年出貨比例約為45:55|上下半年出貨比例約為四十五比五十五
3:7完封|三比七完封
竟稱此實驗的主辦方為「China-Taiwán」，張斯綱質疑|竟稱此實驗的主辦方為「China-Taiwan」，張斯綱質疑
北捷運量5、6月掉到平常1/4，年長者每個月有|北捷運量五、六月掉到平常四分之一，年長者每個月有
1/2顆|二分之一顆
1/2學分|二分之一學分
他的5/7|他的七分之五
20國集團（G20）|二十國集團（G twenty ）
七大工業國集團（G7）|七大工業國集團（G seven ）
SoC|S-o-C
包括Tee4Sport、Tshirt at Low Price、Etsy等知名電商都有販售|包括Tee四Sport、Tshirt at Low Price、Etsy等知名電商都有販售
